7:302,29,866,650,138,8,58,518,616,736
18:17,47812,32205,26299,518,654,43893,54354,1382,21828
19:17,302,654,76,616,58,8,866,84,29
36:2162,17,84,354,70,736,1102,518,1023,94
37:1126,472,103,15,1382,1987,65,32,4967,542
41:17,616,101,902,302,58,245,354,564,654
42:518,17,84,902,302,76,1102,654,58,564
43:29732,14906,1678,6977,2983,2345,15676,16726,14761,19982
44:302,616,861,15,61,542,8,84,1196,322
45:347,4858,11751,15580,76,62080,30725,262,15111,109960
46:616,302,8,245,76,354,58,564,6,61
59:654,616,58,15,564,354,1102,6,32,76
60:302,29,84,58,76,616,1102,289,736,138
69:61,564,32,58,364,787,1196,6,101,302
70:354,84,76,302,654,29,138,1102,650,736
94:17,32,616,1126,1403,65,486,353,564,1405
106:84,101,15,554,8,29,32,1102,518,6
115:58,8,518,861,15,138,902,29,354,61
116:226,719,986,76,1326,70,564,2548,1790,17
142:61,58,32,554,861,8,84,364,29,322
143:3231,394,483,22528,1196,1549,17,5746,42524,5662
148:986,731,13544,500,1023,1884,8511,348,6108,76
150:17,654,302,650,322,29,8,736,301,354
156:84,8,302,1102,58,354,301,138,616,101
161:84,616,138,301,29,6,76,285,650,866
171:302,138,76,6,8,84,726,861,301,2618
172:58,654,861,76,162,356,8,84,564,1102
174:8,518,117,245,296,431,483,654,873,899
177:17,654,58,29,616,84,518,542,1102,8
196:616,354,29,76,650,736,226,322,101,564
202:302,58,8,138,518,1535,354,15,301,542
211:17,103,6503,564,7334,3704,815,873,908,1208
217:17,518,2548,245,999,8,1471,84,103,1086
220:10178,186,22713,46421,4032,88939,40356,429,39446,3704
223:616,58,302,654,518,84,29,94,564,8
224:4797,4589,353,601,17,2268,8694,1951,245,301
225:1187,2162,84,302,875,654,1102,58,70,76
228:17,361,58,302,650,224,654,29,285,322
229:58,84,518,1102,866,15,94,736,787,861
231:58,76,654,302,354,301,29,84,616,8
232:48256,102080,60930,24068,58761,77322,103819,11534,55056,88929
238:441,4513,3618,1744,2715,2028,4444,710,4421,827
241:58,616,84,861,29,1102,736,76,518,650
245:81,262,16786,508,650,780,3137,5767,3939,17
249:17,302,654,84,29,138,899,70,301,8
250:58,616,302,8,542,654,29,84,138,518
253:189,8848,3172,1527,4825,6266,3107,1206,7831,1923
257:17,84,861,289,62,354,285,394,568,542
272:654,1102,29,354,866,6,70,8,138,301
273:17,302,654,138,736,76,101,554,354,650
288:616,17,84,58,1102,15,29,650,76,1196
290:17,138,226,302,354,76,117,834,986,84
291:15989,8780,120066,100846,4613,518,112264,2570,59787,119053
292:654,58,616,138,76,301,289,94,861,70
294:17,302,76,8,354,29,1102,301,138,736
328:17,302,654,76,616,58,8,866,84,29
331:302,17,616,654,6,58,8,84,239,354
