7:302,29,58,650,616,518,138,289,8,736
18:115956,17653,63338,20581,6773,47812,35030,32205,20547,16401
19:17,302,654,76,616,58,8,866,84,29
36:33031,88545,109728,80992,3460,104197,2162,36328,46315,17
37:94581,2324,86424,119353,107168,95058,55886,88783,17703,83322
41:45068,111236,33647,77404,87268,110340,11686,77149,81929,75285
42:18604,13337,15383,9772,33777,16505,96822,18700,104781,25923
43:14906,1678,29732,6977,16726,19982,15676,16350,2983,6960
44:57374,74005,22642,41389,45346,31547,115689,107530,109801,93414
45:54551,38891,68416,2081,53818,347,89008,26793,47964,106466
46:123144,104732,67708,86349,29184,94722,117340,119158,104878,74591
59:28707,47193,34299,51313,32869,100943,41829,35824,99893,60853
60:302,29,13899,54580,89167,38307,58,84,616,76
69:92201,111745,66966,93445,71695,94153,55360,62166,60437,8658
70:82058,58480,25441,36797,24611,71,69737,35439,24212,8535
94:27281,10989,13387,53753,10571,7779,38,100361,43177,27379
106:15,10696,51331,6737,101,1511,84,554,32,61
115:114885,8433,94382,518,58,861,15,8,20566,902
116:115,78548,56886,56894,34782,65366,53270,84196,49947,14954
142:77924,31167,55681,109039,35532,51950,74930,11766,91447,109853
143:89881,139,107116,20605,73067,116359,50883,110799,54650,44282
148:49586,72004,77054,68879,81054,65072,48918,85970,1838,28435
150:17,654,650,302,322,8,15,29,736,84
156:18603,39273,22807,14577,96673,117508,97027,87078,46140,107440
161:49871,70943,57570,84,47669,616,114048,91604,10740,63008
171:166,98852,80493,100040,30641,55110,302,9464,48909,24173
172:98892,27823,95527,33769,83442,85682,90190,99924,15093,72565
174:91046,109231,57606,19585,38437,122852,115036,11194,3233,4364
177:104626,100030,21915,172,27362,90238,50478,55403,37109,15162
196:616,29,354,15,101,650,322,542,736,61
202:39232,196,114294,85756,96086,97972,85918,71952,15,45876
211:121635,108682,16611,24351,98749,57144,75656,34814,9069,25026
217:40104,118564,25644,32799,67357,19666,213,70132,28453,46515
220:10178,186,22713,7649,40483,216,58738,39446,64973,36743
223:19222,48434,120083,85611,67233,616,58,518,654,43138
224:4797,601,4589,8935,44267,80776,6408,12993,584,353
225:1187,2162,654,302,15,84,94,875,58,542
228:62699,17,361,650,302,58,83418,11481,35088,51613
229:58,84,15,518,1102,32,861,61,787,101
231:58,302,616,76,654,29,84,301,518,354
232:48256,10261,62228,100265,85366,120622,60364,83516,99135,86134
238:49682,49392,107574,104135,58428,85174,9416,65202,45837,97639
241:41730,68270,47335,63780,8481,58019,11495,37669,70778,89486
245:80508,16786,62162,16441,40012,40052,46821,11822,17759,63414
249:17,302,654,84,94,29,109078,138,245,101455
250:110626,95080,101365,103975,616,58,52752,542,302,654
253:57347,28692,62472,189,34747,8848,68050,6434,1527,3107
257:17,861,542,84,289,354,15,62,554,1102
272:654,1102,29,866,70,8,6,354,26661,265
273:123204,68219,45389,66524,70730,19415,111895,11764,48652,89730
288:616,15,58,17,94352,26934,1196,84,110361,1511
290:281,111390,119840,56464,50780,79968,72296,61574,48900,17
291:15989,23,76421,52470,282,46026,26067,16852,26721,10384
292:654,58,616,542,861,61,289,301,518,138
294:17,302,8,76,1102,29,354,736,138,301
328:96389,112940,51197,60839,26238,96919,15647,114350,123082,27234
331:302,654,6,616,58,17,542,861,58471,7271
345:1754,77581,11841,42061,337,805,385,100590,92129,83173
361:51271,78659,1090,97745,354,29,98086,54659,138,58
376:302,58,17,29,395,1476,273,6,322,1140
384:106612,82917,103199,81126,14088,57269,43386,72351,31181,46309
401:71840,58240,39914,113599,59282,96213,616,58,1102,354
402:654,302,861,15,285,162,542,518,84,8
410:4755,10041,2880,82433,101738,73660,4568,984,3107,3172
448:34941,61594,92454,91404,16207,87902,51765,81553,25560,12752
449:103035,115363,17499,17204,121630,109041,56234,97429,40687,97493
450:18612,86805,116437,1511,15,1403,654,50374,46057,24670
452:101487,76299,84065,116867,3296,60710,115030,107880,67959,114100
476:122962,113030,467,34169,12746,12020,12344,57301,79909,78694
488:39848,7988,518,616,15,542,17,302,787,508
490:15,101,61,32,302,17,554,486,1403,289
494:79948,46278,19051,616,654,59711,58,79130,542,23487
500:17,224,76,354,117739,97179,22811,43809,120248,113339
514:57859,93732,28749,50642,56650,73717,44672,12112,16279,5902
525:4143,12438,98061,1187,97291,875,70,46766,564,84
535:17,1102,29,8,6,861,354,301,289,138
536:65644,78040,51603,68328,34086,103732,61105,28582,84476,18585
538:523,119615,121747,44134,69008,122837,89432,15373,32656,86787
539:524,107247,66880,61403,77647,7839,65486,27580,97946,58
564:84,88320,289,82399,65523,76,650,518,1102,736
582:18729,121168,90274,117369,101136,103038,119605,64904,99498,56865
585:66647,122074,5212,570,80991,74301,38477,71971,91619,77305
590:123103,108825,30971,39290,98719,100777,23072,38664,575,39073
601:583,27493,51329,90819,18245,90054,27912,67228,94414,75023
618:114529,226,12713,102878,3269,75979,102824,111417,121026,97496
624:71256,51394,2069,565,83867,533,24756,6852,74444,78655
627:41261,27412,110991,68242,96999,79211,36266,607,31368,19731
628:84119,39233,65861,118810,108616,115048,55426,53447,10458,100615
632:18948,116791,45161,98495,94854,98961,4795,58078,35604,86360
633:1196,58,518,1511,654,483,15,554,289,8
634:3423,226,70,14966,3939,4131,718,39851,57974,25910
646:28735,38510,75864,38333,44031,11498,15568,1763,51199,1995
666:16427,103974,90372,93722,37444,89159,116806,81486,98328,48477
